Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in contact with adult mental health services,31/10/2019,SH02,49
Total number of people in contact with adult mental health services,30/11/2019,SH02,54
Total number of people in contact with adult mental health services,31/12/2019,SH02,55
Total number of people in contact with adult mental health services,31/01/2020,SH02,56
Total number of people in contact with adult mental health services,29/02/2020,SH02,55
Total number of people in contact with adult mental health services,31/03/2020,SH02,52
Total number of people in contact with adult mental health services,30/04/2020,SH02,53
Total number of people in contact with adult mental health services,31/05/2020,SH02,49
Total number of people in contact with adult mental health services,30/06/2020,SH02,50
Total number of people in contact with adult mental health services,31/07/2020,SH02,57
Total number of people in contact with adult mental health services,31/08/2020,SH02,55
Total number of people in contact with adult mental health services,30/09/2020,SH02,54
Total number of people in contact with adult mental health services,31/10/2020,SH02,57
Total number of people in contact with adult mental health services,30/11/2020,SH02,61
Total number of people in contact with adult mental health services,31/12/2020,SH02,63
Total number of people in contact with adult mental health services,31/01/2021,SH02,66
Total number of people in contact with adult mental health services,31/01/2018,SH03,277
Total number of people in contact with adult mental health services,28/02/2018,SH03,263
Total number of people in contact with adult mental health services,31/03/2018,SH03,254
Total number of people in contact with adult mental health services,31/05/2018,SH03,240
Total number of people in contact with adult mental health services,31/07/2018,SH03,259
Total number of people in contact with adult mental health services,31/08/2018,SH03,278
Total number of people in contact with adult mental health services,30/09/2018,SH03,267
Total number of people in contact with adult mental health services,31/10/2018,SH03,269
Total number of people in contact with adult mental health services,30/11/2018,SH03,252
Total number of people in contact with adult mental health services,31/12/2018,SH03,249
Total number of people in contact with adult mental health services,31/01/2019,SH03,248
Total number of people in contact with adult mental health services,28/02/2019,SH03,244
Total number of people in contact with adult mental health services,31/03/2019,SH03,240
Total number of people in contact with adult mental health services,30/04/2019,SH03,246
